word,hiragana,romaji,note
笑い顔,わらいがお,,ai_seed_strict
笑い声,わらいごえ,,ai_seed_strict
割り勘,わりかん,,ai_seed_strict
焼け跡,やけあと,,ai_seed_strict
焼き畑,やきばた,,ai_seed_strict
夜明け,よあけ,,ai_seed_strict
呼び声,よびごえ,,ai_seed_strict
世の中,よのなか,,ai_seed_strict
夕映え,ゆうばえ,,ai_seed_strict
夕暮れ,ゆうぐれ,,ai_seed_strict
雪解け,ゆきどけ,,ai_seed_strict
夕凪ぎ,ゆうなぎ,,ai_seed_strict
夕焼け,ゆうやけ,,ai_seed_strict
ゆとり,ゆとり,,ai_seed_strict
山鳴り,やまなり,,ai_seed_strict
心当たり,こころあたり,,ai_seed_strict
気立て,きだて,,ai_seed_strict
心構え,こころがまえ,,ai_seed_strict
顔付き,かおつき,,ai_seed_strict
飾り付け,かざりつけ,,ai_seed_strict
毛並み,けなみ,,ai_seed_strict
切れ味,きれあじ,,ai_seed_strict
幕開け,まくあけ,,ai_seed_strict
目付き,めつき,,ai_seed_strict
身振り,みぶり,,ai_seed_strict
見覚え,みおぼえ,,ai_seed_strict
持ち味,もちあじ,,ai_seed_strict
揉め事,もめごと,,ai_seed_strict
物覚え,ものおぼえ,,ai_seed_strict
物知り,ものしり,,ai_seed_strict
物思い,ものおもい,,ai_seed_strict
うろ覚え,うろおぼえ,,ai_seed_strict
枠組み,わくぐみ,,ai_seed_strict
藁葺き,わらぶき,,ai_seed_strict
役回り,やくまわり,,ai_seed_strict
やりがい,やりがい,,ai_seed_strict
呼び名,よびな,,ai_seed_strict
読み書き,よみかき,,ai_seed_strict
寄せ集め,よせあつめ,,ai_seed_strict
善し悪し,よしあし,,ai_seed_strict
指折り,ゆびおり,,ai_seed_strict
ずぶ濡れ,ずぶぬれ,,ai_seed_strict
座右の銘,ざゆうのめい,,ai_seed_strict
雨漏り,あまもり,,ai_seed_strict
穴埋め,あなうめ,,ai_seed_strict
足踏み,あしぶみ,,ai_seed_strict
足止め,あしどめ,,ai_seed_strict
後追い,あとおい,,ai_seed_strict
跡片付け,あとかたづけ,,ai_seed_strict
後戻り,あともどり,,ai_seed_strict
後押し,あとおし,,ai_seed_strict
帳消し,ちょうけし,,ai_seed_strict
宙返り,ちゅうがえり,,ai_seed_strict
出入り,でいり,,ai_seed_strict
堂々巡り,どうどうめぐり,,ai_seed_strict
どんでん返し,どんでんがえし,,ai_seed_strict
度忘れ,どわすれ,,ai_seed_strict
枝分かれ,えだわかれ,,ai_seed_strict
えこひいき,えこひいき,,ai_seed_strict
選り好み,えりごのみ,,ai_seed_strict
餌付け,えづけ,,ai_seed_strict
不意打ち,ふいうち,,ai_seed_strict
深入り,ふかいり,,ai_seed_strict
冬枯れ,ふゆがれ,,ai_seed_strict
逆戻り,ぎゃくもどり,,ai_seed_strict
鉢合わせ,はちあわせ,,ai_seed_strict
箱詰め,はこづめ,,ai_seed_strict
花冷え,はなびえ,,ai_seed_strict
放し飼い,はなしがい,,ai_seed_strict
挟み撃ち,はさみうち,,ai_seed_strict
走り書き,はしりがき,,ai_seed_strict
橋渡し,はしわたし,,ai_seed_strict
早変わり,はやがわり,,ai_seed_strict
ひいき,ひいき,,ai_seed_strict
暇潰し,ひまつぶし,,ai_seed_strict
日なたぼっこ,ひなたぼっこ,,ai_seed_strict
拾い読み,ひろいよみ,,ai_seed_strict
人違い,ひとちがい,,ai_seed_strict
人助け,ひとだすけ,,ai_seed_strict
一回り,ひとまわり,,ai_seed_strict
人見知り,ひとみしり,,ai_seed_strict
独り歩き,ひとりあるき,,ai_seed_strict
独り占め,ひとりじめ,,ai_seed_strict
一休み,ひとやすみ,,ai_seed_strict
日焼け,ひやけ,,ai_seed_strict
骨休め,ほねやすめ,,ai_seed_strict
拍子抜け,ひょうしぬけ,,ai_seed_strict
一番乗り,いちばんのり,,ai_seed_strict
言い訳,いいわけ,,ai_seed_strict
息抜き,いきぬき,,ai_seed_strict
息継ぎ,いきつぎ,,ai_seed_strict
稲刈り,いねかり,,ai_seed_strict
命拾い,いのちびろい,,ai_seed_strict
入れ違い,いれちがい,,ai_seed_strict
色分け,いろわけ,,ai_seed_strict
じゃんけん,じゃんけん,,ai_seed_strict
地響き,じひびき,,ai_seed_strict
地鳴り,じなり,,ai_seed_strict
地滑り,じすべり,,ai_seed_strict
地割れ,じわれ,,ai_seed_strict
株分け,かぶわけ,,ai_seed_strict
箇条書き,かじょうがき,,ai_seed_strict
駆け足,かけあし,,ai_seed_strict
駆け引き,かけひき,,ai_seed_strict
掛け持ち,かけもち,,ai_seed_strict
勘違い,かんちがい,,ai_seed_strict
顔合わせ,かおあわせ,,ai_seed_strict
空回り,からまわり,,ai_seed_strict
貸し借り,かしかり,,ai_seed_strict
肩代わり,かたがわり,,ai_seed_strict
川下り,かわくだり,,ai_seed_strict
毛嫌い,けぎらい,,ai_seed_strict
毛繕い,けづくろい,,ai_seed_strict
気晴らし,きばらし,,ai_seed_strict
気兼ね,きがね,,ai_seed_strict
切り盛り,きりもり,,ai_seed_strict
小躍り,こおどり,,ai_seed_strict
心変わり,こころがわり,,ai_seed_strict
心配り,こころくばり,,ai_seed_strict
根比べ,こんくらべ,,ai_seed_strict
根負け,こんまけ,,ai_seed_strict
小競り合い,こぜりあい,,ai_seed_strict
口出し,くちだし,,ai_seed_strict
口答え,くちごたえ,,ai_seed_strict
口付け,くちづけ,,ai_seed_strict
雲隠れ,くもがくれ,,ai_seed_strict
草取り,くさとり,,ai_seed_strict
区分け,くわけ,,ai_seed_strict
瞬き,まばたき,,ai_seed_strict
待ち伏せ,まちぶせ,,ai_seed_strict
前祝い,まえいわい,,ai_seed_strict
丸儲け,まるもうけ,,ai_seed_strict
又聞き,またぎき,,ai_seed_strict
目隠し,めかくし,,ai_seed_strict
目配せ,めくばせ,,ai_seed_strict
見栄え,みばえ,,ai_seed_strict
身震い,みぶるい,,ai_seed_strict
見え隠れ,みえがくれ,,ai_seed_strict
耳打ち,みみうち,,ai_seed_strict
身動き,みうごき,,ai_seed_strict
水揚げ,みずあげ,,ai_seed_strict
物忘れ,ものわすれ,,ai_seed_strict
門前払い,もんぜんばらい,,ai_seed_strict
貰い泣き,もらいなき,,ai_seed_strict
無駄遣い,むだづかい,,ai_seed_strict
武者震い,むしゃぶるい,,ai_seed_strict
長持ち,ながもち,,ai_seed_strict
長続き,ながつづき,,ai_seed_strict
仲間割れ,なかまわれ,,ai_seed_strict
仲直り,なかなおり,,ai_seed_strict
中休み,なかやすみ,,ai_seed_strict
泣き笑い,なきわらい,,ai_seed_strict
謎解き,なぞとき,,ai_seed_strict
根回し,ねまわし,,ai_seed_strict
狙い撃ち,ねらいうち,,ai_seed_strict
苦笑い,にがわらい,,ai_seed_strict
仁王立ち,におうだち,,ai_seed_strict
睨めっこ,にらめっこ,,ai_seed_strict
荷造り,にづくり,,ai_seed_strict
糊付け,のりづけ,,ai_seed_strict
糠喜び,ぬかよろこび,,ai_seed_strict
抜け駆け,ぬけがけ,,ai_seed_strict
大当たり,おおあたり,,ai_seed_strict
お出かけ,おでかけ,,ai_seed_strict
思い違い,おもいちがい,,ai_seed_strict
思い入れ,おもいいれ,,ai_seed_strict
恩返し,おんがえし,,ai_seed_strict
大騒ぎ,おおさわぎ,,ai_seed_strict
おしゃべり,おしゃべり,,ai_seed_strict
押し問答,おしもんどう,,ai_seed_strict
遅咲き,おそざき,,ai_seed_strict
大笑い,おおわらい,,ai_seed_strict
大喜び,おおよろこび,,ai_seed_strict
逆立ち,さかだち,,ai_seed_strict
先取り,さきどり,,ai_seed_strict
先回り,さきまわり,,ai_seed_strict
様変わり,さまがわり,,ai_seed_strict
さようなら,さようなら,,ai_seed_strict
背比べ,せいくらべ,,ai_seed_strict
勢揃い,せいぞろい,,ai_seed_strict
咳払い,せきばらい,,ai_seed_strict
背伸び,せのび,,ai_seed_strict
芝刈り,しばかり,,ai_seed_strict
仕返し,しかえし,,ai_seed_strict
品定め,しなさだめ,,ai_seed_strict
知らん顔,しらんかお,,ai_seed_strict
下書き,したがき,,ai_seed_strict
下調べ,したしらべ,,ai_seed_strict
舌打ち,したうち,,ai_seed_strict
下積み,したづみ,,ai_seed_strict
外回り,そとまわり,,ai_seed_strict
素通り,すどおり,,ai_seed_strict
巣篭り,すごもり,,ai_seed_strict
好き嫌い,すききらい,,ai_seed_strict
煤払い,すすはらい,,ai_seed_strict
立ち聞き,たちぎき,,ai_seed_strict
立ち往生,たちおうじょう,,ai_seed_strict
立ち読み,たちよみ,,ai_seed_strict
体当たり,たいあたり,,ai_seed_strict
高望み,たかのぞみ,,ai_seed_strict
種蒔き,たねまき,,ai_seed_strict
縦書き,たてがき,,ai_seed_strict
田植え,たうえ,,ai_seed_strict
便り,たより,,ai_seed_strict
手引き,てびき,,ai_seed_strict
手助け,てだすけ,,ai_seed_strict
手書き,てがき,,ai_seed_strict
手入れ,ていれ,,ai_seed_strict
手招き,てまねき,,ai_seed_strict
手直し,てなおし,,ai_seed_strict
照れ隠し,てれかくし,,ai_seed_strict
照り返し,てりかえし,,ai_seed_strict
手探り,てさぐり,,ai_seed_strict
手続き,てつづき,,ai_seed_strict
手分け,てわけ,,ai_seed_strict
手作り,てづくり,,ai_seed_strict
飛び火,とびひ,,ai_seed_strict
飛び入り,とびいり,,ai_seed_strict
遠回り,とおまわり,,ai_seed_strict
遠乗り,とおのり,,ai_seed_strict
告げ口,つげぐち,,ai_seed_strict
接ぎ木,つぎき,,ai_seed_strict
摘み草,つみくさ,,ai_seed_strict
綱渡り,つなわたり,,ai_seed_strict
梅雨明け,つゆあけ,,ai_seed_strict
梅雨入り,つゆいり,,ai_seed_strict
腕試し,うでだめし,,ai_seed_strict
腕組み,うでぐみ,,ai_seed_strict
腕比べ,うでくらべ,,ai_seed_strict
受け答え,うけこたえ,,ai_seed_strict
浮き彫り,うきぼり,,ai_seed_strict
浮き沈み,うきしずみ,,ai_seed_strict
馬乗り,うまのり,,ai_seed_strict
鵜呑み,うのみ,,ai_seed_strict
嬉し泣き,うれしなき,,ai_seed_strict
憂さ晴らし,うさばらし,,ai_seed_strict
上書き,うわがき,,ai_seed_strict
悪ふざけ,わるふざけ,,ai_seed_strict
焼き直し,やきなおし,,ai_seed_strict
山歩き,やまあるき,,ai_seed_strict
山崩れ,やまくずれ,,ai_seed_strict
山分け,やまわけ,,ai_seed_strict
山焼き,やまやき,,ai_seed_strict
山積み,やまづみ,,ai_seed_strict
遣り繰り,やりくり,,ai_seed_strict
遣り取り,やりとり,,ai_seed_strict
八つ当たり,やつあたり,,ai_seed_strict
夜明かし,よあかし,,ai_seed_strict
横取り,よこどり,,ai_seed_strict
横書き,よこがき,,ai_seed_strict
夜回り,よまわり,,ai_seed_strict
寄り道,よりみち,,ai_seed_strict
寄せ書き,よせがき,,ai_seed_strict
世渡り,よわたり,,ai_seed_strict
指切り,ゆびきり,,ai_seed_strict
行き来,ゆきき,,ai_seed_strict
夕涼み,ゆうすずみ,,ai_seed_strict
# 以下は厳選版の 1 文字違い判定で残したい語 (manual_include に載せると衝突時に優先される)。,,,
背中,せなか,,ai_seed_strict_priority
登山,とざん,,ai_seed_strict_priority
百合,ゆり,,ai_seed_strict_priority
妖怪,ようかい,,ai_seed_strict_priority
膝,ひざ,,ai_seed_strict_priority
風鈴,ふうりん,,ai_seed_strict_priority
現場,げんば,,ai_seed_strict_priority
舞台,ぶたい,,ai_seed_strict_priority
日記,にっき,,ai_seed_strict_priority
姉妹,しまい,,ai_seed_strict_priority
鏡,かがみ,,ai_seed_strict_priority
席,せき,,ai_seed_strict_priority
